trial_number,score,avg_pnl,avg_sharpe,avg_inventory_penalty,TOM_FAIR_ALPHA,TOM_PRESSURE_BETA,TOM_TAKE_EDGE,TOM_PASSIVE_EDGE
0,-385.0000452151052,-385.0,-0.00045215105195889566,0.0,0.18108904159657688,1.4408571676918993,1.9639878836228102,1
1,2345.000253642462,2345.0,0.0025364246219990332,0.0,0.10460652415485279,0.48719342440344315,0.6161672243363989,2
2,662.0000752482666,662.0,0.0007524826657622917,0.0,0.2603902541101231,1.1496870933552545,0.5411689885916049,2
3,-547.0000644976913,-547.0,-0.0006449769124564157,0.0,0.34135492428014763,0.5548069328139313,0.8636499344142012,0
4,537.0000579170973,537.0,0.0005791709727796027,0.0,0.1564847850358382,0.9297077179586853,1.3638900372842315,0
5,-19.22131472812495,-19.0,-2.2131472812494963,0.0,0.26414851315283283,0.4673926327824502,1.0842892970704363,1
6,399.0000440992881,399.0,0.00044099288127094914,0.0,0.2096244944759626,1.2422111536716163,0.8993475643167195,1
7,-414.00005120600974,-414.0,-0.0005120600976367004,0.0,0.2573450991017149,0.35574049526399726,1.7150897038028767,0
8,169.00001765816862,169.0,0.00017658168602830308,0.0,0.07276805754484783,1.4386626447039998,2.4312640661491187,2
9,-140.0000158262646,-140.0,-0.00015826264589353223,0.0,0.15661481921067974,0.4172065368076606,1.8684660530243138,1
10,2609.0002743926807,2609.0,0.0027439268083320886,0.0,0.05757769671514279,0.7364732083459572,0.5150946386325864,2
11,2810.0002953202616,2810.0,0.002953202617299931,0.0,0.05537870806483652,0.7126410529356179,0.5295243903251974,2
12,2455.00025890758,2455.0,0.0025890757970682,0.0,0.06202371263217788,0.7400881516578978,1.2775112562716173,2
13,2617.0002850495944,2617.0,0.002850495944441126,0.0,0.11154141259666939,0.7417569129359611,0.5619067360890851,2
14,2100.0002250122916,2100.0,0.0022501229166638076,0.0,0.10601884679704336,0.884947305751431,0.8541152851256217,2
15,1742.0001891103352,1742.0,0.001891103352622453,0.0,0.11709610990791855,0.6861206131203177,1.0147649119267588,2
16,-191.000022065379,-191.0,-0.00022065378985490312,0.0,0.35258722575933954,0.9760884774255807,0.7186257994571335,1
17,1827.000197196579,1827.0,0.0019719657883924277,0.0,0.1309199953983361,0.6091584535524499,1.1538790674416388,2
18,1836.000199086646,1836.0,0.001990866461407538,0.0,0.08616188777218309,0.8593078890296754,1.494170787221705,1
19,0.0,0.0,0.0,0.0,0.30544219033609554,1.213631076649466,2.327205171880928,2
20,-414.00005120600974,-414.0,-0.0005120600976367004,0.0,0.3923475401839692,1.0814735172507595,0.8163084960584994,2
21,2609.0002743926807,2609.0,0.0027439268083320886,0.0,0.05758181066007503,0.7619389222013452,0.51842913331248,2
22,2733.000289575406,2733.0,0.002895754061289132,0.0,0.05384621623531993,0.6388695669568644,0.6803697726230435,2
23,2414.0002566710277,2414.0,0.0025667102765903026,0.0,0.13312908355492256,0.6345174237344696,0.7513268247333506,2
24,2373.000251075282,2373.0,0.0025107528220409568,0.0,0.08772743639050795,0.8372451493564547,0.7026606066275081,1
25,2660.0002714856837,2660.0,0.0027148568349867597,0.0,0.0503399829150899,0.5438099136338621,1.02519257608269,2
26,2752.0002789903347,2752.0,0.0027899033452114226,0.0,0.050732756680665986,0.31798072338205197,0.9893043117944698,2
27,837.0000914420348,837.0,0.0009144203481981959,0.0,0.1585000015617194,0.3323464096973599,1.238580546641427,1
28,2446.0002581015233,2446.0,0.002581015231337835,0.0,0.08245106619838657,0.3865872114151848,0.9674840863701624,2
29,-375.0000446276391,-375.0,-0.000446276391215372,0.0,0.16728432942242216,1.0098212051948707,2.137513676164258,1
30,1379.0001486693197,1379.0,0.001486693196728321,0.0,0.1950211861257873,0.30268315109334964,0.6652483018890668,2
31,2813.000283925311,2813.0,0.0028392531089840843,0.0,0.05792018388384342,0.5728580574613037,1.0506144374261814,2
32,1586.0001691301718,1586.0,0.0016913017172845352,0.0,0.09197984642386284,0.5139185408188838,1.4642866162030956,2
33,1832.0001977608508,1832.0,0.0019776085084494844,0.0,0.13326362620398532,0.6366004996020037,1.139904293495287,2
34,2649.000278842007,2649.0,0.0027884200721203694,0.0,0.07496003342707194,0.5868095827362269,0.6456084750887,2
35,2751.0002810774945,2751.0,0.0028107749432819797,0.0,0.0533897700468907,0.4546682888528507,0.9092648233050881,2
36,1255.0001342790406,1255.0,0.001342790406450451,0.0,0.09775295714846717,0.4456948984679356,1.6876415193687957,2
37,1929.0002043715122,1929.0,0.0020437151219426246,0.0,0.07332733211975807,0.4968888091505211,1.3709833133679505,2
38,685.0000768314775,685.0,0.0007683147748350064,0.0,0.22987194662962357,0.40527997166646346,0.8306536400833437,2
39,1811.0001968055883,1811.0,0.001968055883097882,0.0,0.11514211719731465,0.45292511738952657,0.9454963653905241,0
40,2543.0002668559514,2543.0,0.0026685595160196177,0.0,0.06992146580849094,0.8034481218609135,1.098301674366415,1
41,2801.000293403907,2801.0,0.0029340390731765176,0.0,0.05107584520208743,0.665910062191706,0.7713145154953465,2
42,2685.0002769135167,2685.0,0.002769135167747441,0.0,0.051501987311121815,0.545311704574691,0.9006830311573666,2
43,2275.000243196156,2275.0,0.0024319615618198444,0.0,0.09844928192167968,0.3632523235060713,0.779568215936628,2
44,2301.000244228883,2301.0,0.0024422888260517365,0.0,0.07342702177639826,0.6701525619775164,1.2025572404406282,2
45,2805.0002947540725,2805.0,0.002947540724374058,0.0,0.05029858236088384,0.5727765030984979,0.5712999551338536,2
46,2306.000246162228,2306.0,0.0024616222813463725,0.0,0.07013157443138802,0.7034330853897175,0.5652931004519275,0
47,1842.0001961627027,1842.0,0.001961627026098963,0.0,0.12944467081754293,1.4891731965441846,0.6034246649606277,2
48,1255.0001342790406,1255.0,0.001342790406450451,0.0,0.10265853249567808,0.9465346391778567,1.6464578883947951,2
49,-559.0000676996387,-559.0,-0.000676996387559263,0.0,0.29305035532289175,0.7714970043428654,1.307195494325586,2
0,-385.0000452151052,-385.0,-0.00045215105195889566,0.0,0.18108904159657688,1.4408571676918993,1.9639878836228102,1
1,2345.000253642462,2345.0,0.0025364246219990332,0.0,0.10460652415485279,0.48719342440344315,0.6161672243363989,2
2,662.0000752482666,662.0,0.0007524826657622917,0.0,0.2603902541101231,1.1496870933552545,0.5411689885916049,2
3,-547.0000644976913,-547.0,-0.0006449769124564157,0.0,0.34135492428014763,0.5548069328139313,0.8636499344142012,0
4,537.0000579170973,537.0,0.0005791709727796027,0.0,0.1564847850358382,0.9297077179586853,1.3638900372842315,0
5,-19.22131472812495,-19.0,-2.2131472812494963,0.0,0.26414851315283283,0.4673926327824502,1.0842892970704363,1
6,399.0000440992881,399.0,0.00044099288127094914,0.0,0.2096244944759626,1.2422111536716163,0.8993475643167195,1
7,-414.00005120600974,-414.0,-0.0005120600976367004,0.0,0.2573450991017149,0.35574049526399726,1.7150897038028767,0
8,169.00001765816862,169.0,0.00017658168602830308,0.0,0.07276805754484783,1.4386626447039998,2.4312640661491187,2
9,-140.0000158262646,-140.0,-0.00015826264589353223,0.0,0.15661481921067974,0.4172065368076606,1.8684660530243138,1
10,2609.0002743926807,2609.0,0.0027439268083320886,0.0,0.05757769671514279,0.7364732083459572,0.5150946386325864,2
11,2810.0002953202616,2810.0,0.002953202617299931,0.0,0.05537870806483652,0.7126410529356179,0.5295243903251974,2
12,2455.00025890758,2455.0,0.0025890757970682,0.0,0.06202371263217788,0.7400881516578978,1.2775112562716173,2
13,2617.0002850495944,2617.0,0.002850495944441126,0.0,0.11154141259666939,0.7417569129359611,0.5619067360890851,2
14,2100.0002250122916,2100.0,0.0022501229166638076,0.0,0.10601884679704336,0.884947305751431,0.8541152851256217,2
15,1742.0001891103352,1742.0,0.001891103352622453,0.0,0.11709610990791855,0.6861206131203177,1.0147649119267588,2
16,-191.000022065379,-191.0,-0.00022065378985490312,0.0,0.35258722575933954,0.9760884774255807,0.7186257994571335,1
17,1827.000197196579,1827.0,0.0019719657883924277,0.0,0.1309199953983361,0.6091584535524499,1.1538790674416388,2
18,1836.000199086646,1836.0,0.001990866461407538,0.0,0.08616188777218309,0.8593078890296754,1.494170787221705,1
19,0.0,0.0,0.0,0.0,0.30544219033609554,1.213631076649466,2.327205171880928,2
20,-414.00005120600974,-414.0,-0.0005120600976367004,0.0,0.3923475401839692,1.0814735172507595,0.8163084960584994,2
21,2609.0002743926807,2609.0,0.0027439268083320886,0.0,0.05758181066007503,0.7619389222013452,0.51842913331248,2
22,2733.000289575406,2733.0,0.002895754061289132,0.0,0.05384621623531993,0.6388695669568644,0.6803697726230435,2
23,2414.0002566710277,2414.0,0.0025667102765903026,0.0,0.13312908355492256,0.6345174237344696,0.7513268247333506,2
24,2373.000251075282,2373.0,0.0025107528220409568,0.0,0.08772743639050795,0.8372451493564547,0.7026606066275081,1
25,2660.0002714856837,2660.0,0.0027148568349867597,0.0,0.0503399829150899,0.5438099136338621,1.02519257608269,2
26,2752.0002789903347,2752.0,0.0027899033452114226,0.0,0.050732756680665986,0.31798072338205197,0.9893043117944698,2
27,837.0000914420348,837.0,0.0009144203481981959,0.0,0.1585000015617194,0.3323464096973599,1.238580546641427,1
28,2446.0002581015233,2446.0,0.002581015231337835,0.0,0.08245106619838657,0.3865872114151848,0.9674840863701624,2
29,-375.0000446276391,-375.0,-0.000446276391215372,0.0,0.16728432942242216,1.0098212051948707,2.137513676164258,1
30,1379.0001486693197,1379.0,0.001486693196728321,0.0,0.1950211861257873,0.30268315109334964,0.6652483018890668,2
31,2813.000283925311,2813.0,0.0028392531089840843,0.0,0.05792018388384342,0.5728580574613037,1.0506144374261814,2
32,1586.0001691301718,1586.0,0.0016913017172845352,0.0,0.09197984642386284,0.5139185408188838,1.4642866162030956,2
33,1832.0001977608508,1832.0,0.0019776085084494844,0.0,0.13326362620398532,0.6366004996020037,1.139904293495287,2
34,2649.000278842007,2649.0,0.0027884200721203694,0.0,0.07496003342707194,0.5868095827362269,0.6456084750887,2
35,2751.0002810774945,2751.0,0.0028107749432819797,0.0,0.0533897700468907,0.4546682888528507,0.9092648233050881,2
36,1255.0001342790406,1255.0,0.001342790406450451,0.0,0.09775295714846717,0.4456948984679356,1.6876415193687957,2
37,1929.0002043715122,1929.0,0.0020437151219426246,0.0,0.07332733211975807,0.4968888091505211,1.3709833133679505,2
38,685.0000768314775,685.0,0.0007683147748350064,0.0,0.22987194662962357,0.40527997166646346,0.8306536400833437,2
39,1811.0001968055883,1811.0,0.001968055883097882,0.0,0.11514211719731465,0.45292511738952657,0.9454963653905241,0
40,2543.0002668559514,2543.0,0.0026685595160196177,0.0,0.06992146580849094,0.8034481218609135,1.098301674366415,1
41,2801.000293403907,2801.0,0.0029340390731765176,0.0,0.05107584520208743,0.665910062191706,0.7713145154953465,2
42,2685.0002769135167,2685.0,0.002769135167747441,0.0,0.051501987311121815,0.545311704574691,0.9006830311573666,2
43,2275.000243196156,2275.0,0.0024319615618198444,0.0,0.09844928192167968,0.3632523235060713,0.779568215936628,2
44,2301.000244228883,2301.0,0.0024422888260517365,0.0,0.07342702177639826,0.6701525619775164,1.2025572404406282,2
45,2805.0002947540725,2805.0,0.002947540724374058,0.0,0.05029858236088384,0.5727765030984979,0.5712999551338536,2
46,2306.000246162228,2306.0,0.0024616222813463725,0.0,0.07013157443138802,0.7034330853897175,0.5652931004519275,0
47,1842.0001961627027,1842.0,0.001961627026098963,0.0,0.12944467081754293,1.4891731965441846,0.6034246649606277,2
48,1255.0001342790406,1255.0,0.001342790406450451,0.0,0.10265853249567808,0.9465346391778567,1.6464578883947951,2
49,-559.0000676996387,-559.0,-0.000676996387559263,0.0,0.29305035532289175,0.7714970043428654,1.307195494325586,2
50,2162.000233874986,2162.0,0.0023387498606971314,0.0,0.08855781036841492,0.5931000581528896,1.02910637567505,1
51,2409.0002488852065,2409.0,0.0024888520651760886,0.0,0.050130453124600204,0.47308255550266537,0.8940913311596942,2
52,2203.000226405321,2203.0,0.002264053210715662,0.0,0.06724090838711676,0.5327114342350605,0.7581664259222738,2
53,2371.000251220584,2371.0,0.002512205838108105,0.0,0.06298542031308196,0.6951146813922428,0.5999822737214119,2
54,2514.0002699437887,2514.0,0.0026994378876773087,0.0,0.0805851525996166,0.4185818480581958,0.520696877938193,2
55,1939.0002068837593,1939.0,0.002068837593339807,0.0,0.11932791229037754,0.5715904004229593,0.8206791325399299,2
56,2638.000271067992,2638.0,0.0027106799203898847,0.0,0.06295153252771009,0.3173011654284426,0.9540666649702045,2
57,2268.00023784884,2268.0,0.0023784883993036346,0.0,0.08508173714803577,1.3259109064733912,0.7113282248284356,2
58,1941.0002077111228,1941.0,0.0020771112276030583,0.0,0.10443201521863464,0.4900435097237697,1.0472831902274988,2
59,1887.0002067646424,1887.0,0.0020676464230072696,0.0,0.1460150018949381,0.3560034439310267,0.6343486011845674,2
60,529.0000592558835,529.0,0.0005925588348363845,0.0,0.22535186417139427,0.42878068884708753,0.8784991687859105,2
61,3104.0003209022284,3104.0,0.0032090222852342687,0.0,0.05073313723588317,0.6424018967914085,0.5009695628434961,2
62,2693.0002859531055,2693.0,0.002859531054377079,0.0,0.06077532262038876,0.6444459408686903,0.5202602747632371,2
63,2800.0002935095085,2800.0,0.0029350950874014663,0.0,0.051395658337147404,0.7059404180091464,0.5873471297888571,2
64,2372.0002515078913,2372.0,0.0025150789146613822,0.0,0.07919684510898425,0.8060776463809333,0.5878303152505141,2
65,2586.0002702505726,2586.0,0.002702505724370247,0.0,0.06266198058625029,0.7051471899028837,0.6789087784012098,2
66,2615.000276336012,2615.0,0.002763360121651809,0.0,0.05043613415006136,0.8695195572505033,0.7210408675397499,2
67,2570.0002758531655,2570.0,0.002758531656706364,0.0,0.09419324073241411,0.6097609059528573,0.5121584726902534,2
68,2499.0002637865705,2499.0,0.0026378657052246175,0.0,0.07979159558493452,0.7404963707146689,0.6174217520966261,2
69,231.0000257714945,231.0,0.0002577149449585307,0.0,0.2419186653593588,0.6704300392117286,0.7545466820190763,1
70,691.0000761174373,691.0,0.0007611743723274353,0.0,0.19609874341069916,0.8209741636753483,0.8113110432831079,2
71,2458.00025691916,2458.0,0.002569191602442174,0.0,0.06065405831177656,0.5183336695310047,0.6614047028178998,2
72,2796.000292834188,2796.0,0.0029283418778367704,0.0,0.05802877765846182,0.5675831363948743,0.5677703274451327,2
73,2510.0002684023248,2510.0,0.0026840232472353205,0.0,0.06616314174242982,0.6187229278999202,0.5765125949421771,2
74,1223.0001225785584,1223.0,0.0012257855839617573,0.0,0.05044004325809537,0.5714034993750395,1.9276753378527254,2
75,2598.0002782464903,2598.0,0.0027824649036308838,0.0,0.07226240803539534,0.7583131029898926,0.5512810313339725,2
76,2635.0002842754852,2635.0,0.0028427548545543477,0.0,0.09137990951929742,0.6564769418574894,0.5053238367379346,2
77,-191.000022065379,-191.0,-0.00022065378985490312,0.0,0.3582603858560639,1.055258249001543,0.6347632250729728,2
78,2256.000242638663,2256.0,0.002426386631374982,0.0,0.10941555247668149,0.7182493577859725,0.7153848622287261,0
79,2356.0002492238023,2356.0,0.002492238021400523,0.0,0.07966757022410137,0.9113946430079816,0.7880461197045479,2
80,2840.0002988715396,2840.0,0.0029887153980054583,0.0,0.05701483276513466,0.560531726469814,0.563787438253392,2
81,2780.0002919644617,2780.0,0.0029196446172541912,0.0,0.0583852094472125,0.5679798268444388,0.5556285717466232,2
82,2560.00027190052,2560.0,0.002719005203686701,0.0,0.0617203998132002,0.5545117636317525,0.5657277458913924,2
83,2524.0002678787637,2524.0,0.0026787876380254334,0.0,0.07272342904766962,0.5922095339802909,0.6556732503566373,2
84,2693.000283940768,2693.0,0.002839407679634792,0.0,0.05845330283952563,0.622542549219516,0.569523311970561,2
85,2758.000292538006,2758.0,0.002925380058697126,0.0,0.08621768722507875,0.5067355310821733,0.6168610370128181,2
86,2399.000256710634,2399.0,0.0025671063384835224,0.0,0.06991386534759186,0.7834467530388115,0.5048040214715127,2
87,2393.0002492857116,2393.0,0.0024928571145361,0.0,0.06201046967273795,0.673873724340503,0.7187506677526516,2
88,2549.0002727130736,2549.0,0.002727130735077953,0.0,0.09703365482954404,0.5608822641078276,0.6777805443319491,2
89,2671.000279848222,2671.0,0.0027984822191541147,0.0,0.05608651107269765,0.7239661478415884,0.5647463846572676,2
90,411.0000464060583,411.0,0.00046406058293088274,0.0,0.2740587717752061,0.5331736477246993,0.6171720231698054,2
91,2735.000291763779,2735.0,0.002917637789231667,0.0,0.0849501096575494,0.5955642575278985,0.6458171466645535,2
92,2628.0002793219114,2628.0,0.002793219113980396,0.0,0.07718644234143227,0.497440350534464,0.5958814129173713,2
93,2840.0002988715396,2840.0,0.0029887153980054583,0.0,0.05724866566873334,0.6491986855879206,0.5551202230413322,2
94,2296.0002372735207,2296.0,0.0023727352069250612,0.0,0.05755460739865175,0.644579685366532,0.7453828838435347,2
95,2504.0002684368574,2504.0,0.002684368572276154,0.0,0.07079401817171278,0.6884065168361557,0.545193870194413,2
96,1773.0001848421857,1773.0,0.0018484218567275284,0.0,0.06691727505500768,0.6145741515740236,1.5900161083124371,2
97,2613.0002747807384,2613.0,0.0027478073862294643,0.0,0.058136512177456905,0.46573144505722597,0.5369792421437142,2
98,2600.0002752425926,2600.0,0.0027524259278328372,0.0,0.05131628774789615,0.5666156430618848,0.6876974707472923,2
99,2487.0002591781945,2487.0,0.002591781946626123,0.0,0.07647493208041259,0.6394484579789975,0.8293737158634674,2
0,-385.0000452151052,-385.0,-0.00045215105195889566,0.0,0.18108904159657688,1.4408571676918993,1.9639878836228102,1
1,2345.000253642462,2345.0,0.0025364246219990332,0.0,0.10460652415485279,0.48719342440344315,0.6161672243363989,2
2,662.0000752482666,662.0,0.0007524826657622917,0.0,0.2603902541101231,1.1496870933552545,0.5411689885916049,2
3,-547.0000644976913,-547.0,-0.0006449769124564157,0.0,0.34135492428014763,0.5548069328139313,0.8636499344142012,0
4,537.0000579170973,537.0,0.0005791709727796027,0.0,0.1564847850358382,0.9297077179586853,1.3638900372842315,0
5,-19.22131472812495,-19.0,-2.2131472812494963,0.0,0.26414851315283283,0.4673926327824502,1.0842892970704363,1
6,399.0000440992881,399.0,0.00044099288127094914,0.0,0.2096244944759626,1.2422111536716163,0.8993475643167195,1
7,-414.00005120600974,-414.0,-0.0005120600976367004,0.0,0.2573450991017149,0.35574049526399726,1.7150897038028767,0
8,169.00001765816862,169.0,0.00017658168602830308,0.0,0.07276805754484783,1.4386626447039998,2.4312640661491187,2
9,-140.0000158262646,-140.0,-0.00015826264589353223,0.0,0.15661481921067974,0.4172065368076606,1.8684660530243138,1
10,2609.0002743926807,2609.0,0.0027439268083320886,0.0,0.05757769671514279,0.7364732083459572,0.5150946386325864,2
11,2810.0002953202616,2810.0,0.002953202617299931,0.0,0.05537870806483652,0.7126410529356179,0.5295243903251974,2
12,2455.00025890758,2455.0,0.0025890757970682,0.0,0.06202371263217788,0.7400881516578978,1.2775112562716173,2
13,2617.0002850495944,2617.0,0.002850495944441126,0.0,0.11154141259666939,0.7417569129359611,0.5619067360890851,2
14,2100.0002250122916,2100.0,0.0022501229166638076,0.0,0.10601884679704336,0.884947305751431,0.8541152851256217,2
15,1742.0001891103352,1742.0,0.001891103352622453,0.0,0.11709610990791855,0.6861206131203177,1.0147649119267588,2
16,-191.000022065379,-191.0,-0.00022065378985490312,0.0,0.35258722575933954,0.9760884774255807,0.7186257994571335,1
17,1827.000197196579,1827.0,0.0019719657883924277,0.0,0.1309199953983361,0.6091584535524499,1.1538790674416388,2
18,1836.000199086646,1836.0,0.001990866461407538,0.0,0.08616188777218309,0.8593078890296754,1.494170787221705,1
19,0.0,0.0,0.0,0.0,0.30544219033609554,1.213631076649466,2.327205171880928,2
20,-414.00005120600974,-414.0,-0.0005120600976367004,0.0,0.3923475401839692,1.0814735172507595,0.8163084960584994,2
21,2609.0002743926807,2609.0,0.0027439268083320886,0.0,0.05758181066007503,0.7619389222013452,0.51842913331248,2
22,2733.000289575406,2733.0,0.002895754061289132,0.0,0.05384621623531993,0.6388695669568644,0.6803697726230435,2
23,2414.0002566710277,2414.0,0.0025667102765903026,0.0,0.13312908355492256,0.6345174237344696,0.7513268247333506,2
24,2373.000251075282,2373.0,0.0025107528220409568,0.0,0.08772743639050795,0.8372451493564547,0.7026606066275081,1
